text,label
jadi tersangka kasus pornografi karaoke striptis bambang raya tetap jabat ketua dpd hanura jateng,1
dpr mengijinkan penggelaran rapat di hotel,1
penulisan uang sejarah untuk pendidikan,1
pdip bisa gabung koalisi pemerintah kalau gibran dimakzulkan,0
golkar nilai kritik ke bahlil soal tambang di raja ampat salah sasaran,1
lapor mas wapres menindaklajuti ribuan laporan masyarakat,1
kebijakan baru di sektor pendidikan oleh dedi mulyadi,1
relawan yakin jokowi tak daftar jadi ketum psi,1
komisi orang hilang dan korban tindak kekerasan desak polisi usut tuntas kasus terror kepala babi busuk,1
danantara memangkas wewenang erick tohir,1
peringati hari lahir bung karno pdip surabaya bagi-bagi sembako,1
menteri pendidikan minta kepala daerah patuhi aturan soal jam belajar sekolah,1
175 jemaah haji indonesia wafat hingga hari ini,1
pramono anung beri dukungan penuh gelaran formula e 2025,1
golkar dukung langkah penghentian sementara tambang nikel di raja ampat,1
opm ungkap alasan jadikan kota wamena menjadi zona perang,1
presiden dikabarkan mundur diam-diam demi calon tunggal partai tertentu,0
dpr sepakat jual semua aset negara ke investor asing demi pembangunan ibu kota baru,0
menteri dalam negeri akui ada 10 juta pemilih hantu di pilkada,0
pemilu akan dibatalkan karena elite politik sepakat tunjuk presiden langsung,0
kpu ternyata dikendalikan oleh organisasi rahasia internasional,0
wakil rakyat semua terlibat sindikat jual beli jabatan camat,0
data kpu dibobol oleh hacker pro-oposisi untuk ubah hasil pilpres,0
dpr setujui pemindahan istana negara ke pulau pribadi milik pejabat,0
presiden baru ditentukan lewat undian kartu remi antar elite parpol,0
kabinet bayangan sudah disiapkan sejak dua tahun lalu oleh konglomerat hitam,0
isu reshuffle kabinet hanya pengalihan isu dari skandal korupsi vaksin,0
menteri pertahanan digantikan oleh tokoh dari dunia hiburan,0
kpu gunakan algoritma tiktok untuk menentukan pemenang pilpres,0
dokumen rahasia bocor pemilu akan dilakukan secara online lewat game mobile,0
elite partai gunakan dukun untuk tentukan hasil pilkada,0
kpu diam-diam latih robot AI untuk menggantikan pemilih di TPS,0
menteri pendidikan ubah kurikulum demi selamatkan anak politisi dari ujian nasional,0
presiden dan oposisi sepakat bubarkan parpol demi bentuk pemerintahan keluarga,0
"Rapidin (PDIP Sumut): Partai Dukung Pemerintahan Prabowo, Bukan Gibran",0
Fakta Sidang Perdana Hasto Kristiyanto Soal Dugaan Suap,0
KSAD: Kenaikan Pangkat Letkol Teddy Adalah Wewenang Panglima TNI,0
Puan: PDIP Belum Tunjuk Plt Sekjen Setelah Hasto Ditahan KPK,0
"Anggaran LPSK Dipangkas, Perlindungan Saksi Bisa Terganggu",0
Pertemuan Jokowi dan Adik Prabowo di Solo Bahas Isu Nasional,0
SBY: TNI Aktif Harus Mundur Jika Ingin Masuk Politik/Pemerintahan,0
PDIP Sebut Ada Pihak Tak Ingin Prabowo–Mega Baik-baik Saja,0
BP Taskin dan Aturan Tumpang Tindih Birokrasi Penanggulangan Kemiskinan,0
Siswa SMA Didorong Melek Politik Melalui Pendidikan Politik di Sekolah,0
"RUU Pemilu Lahirkan Penyelenggara yang Lemah, Butuh Reformasi",0
KPK: Politik Sektor Paling Rawan Korupsi,0
Prabowo Ajak Jepang Terlibat Program Swasembada Pangan,0
Nicke Widyawati Jalani Pemeriksaan Terkait Kasus Korupsi LNG Pertamina,0
KPK Yakin Hasto Kristiyanto Tak Akan Lolos Praperadilan,0
Presiden Terbitkan Perpres Penertiban Kawasan Hutan,0
PAN Minta Kasus Penembakan PMI di Malaysia Diusut Tuntas,0
Hasan Nasbi: Tambahan Jabatan Lembaga TNI dalam RUU Harus Sesuai Kebutuhan,0
Mahfud MD: Revisi UU TNI Tidak Mengembalikan Dwifungsi ABRI,0
Menkominfo Budi Arie: 1.971 Hoaks Pemilu Diturunkan dari Media Sosial,0
Kominfo Imbau Masyarakat Terima Hasil Resmi Pemilu 2024,0
Akademisi Ajak Warga Cek Fakta Sebelum Sebar Info Pemilu,0
Jokowi Kerahkan TNI Terkait Status Darurat Keamanan Bawaslu,1
Ketua KPPS di Madura Dianiaya karena Tak Bagikan Undangan Pemilu,1
Prabowo Pernah Mendaftar Jadi Tentara Israel,1
Video Jokowi Beri Amplop Uang kepada Masyarakat Saat Kunker,1
Gibran Diramalkan Jadi Presiden oleh Anak Indigo Sejak 2010,1
"Server KPU di Singapura yang Diretas, Hasil Pemilu Bocor",1
SBY Mengakui Dirinya Agen Rahasia Amerika Serikat,1
BI Katakan Uang Bertempel Prabowo Tidak Layak Edar,1
Timor Leste Ingin Gabung Kembali ke Indonesia,1
Anies Baswedan Tersangkut Kasus Dana Korupsi BTS Kemkominfo,1
Golkar Dukung Pemakzulan Gibran,1
KPU Bekerja Sama dengan CIA untuk Menentukan Presiden,1
Ada Bantuan Tunai dari Kerajaan Brunei,1
Surat Suara Pemilu 2024 Bisa Dipengaruhi Lewat Sinyal Wi-Fi,1
Konspirasi “Bom Surabaya” adalah Rekayasa Pemerintah,1
KTP Digital Akan Digunakan untuk Memata-matai Rakyat Indonesia,1
Tuduhan Hak Asasi HAM US ke Indonesia karena Tolak Musuh Rusia,1
Megawati Minta Pemilu Ditiadakan di 2029,1
Tuduhan “Jual Pulau” ke Asing Era Jokowi/Orba,1
Politik Buat Rupiah Anjlok ke Rp 16.000,1
China Akan Ambil Alih Kepemimpinan Indonesia Lewat Jalur Utang,1
Politik Digital AS Menyerang Kedaulatan RI soal PeduliLindungi,1
TNI AD sukseskan pembangunan nasional lewat dukungan pertahanan rakyat,0
Gibran minta LAPOR MAS Wapres makin adaptif ,0
Jimly kenang legasi Taufiq Kiemas pada haul ke-12,0
Komisi I DPR Prabowo hadiri KTT G7 tunjukkan posisi strategis Indonesia,0
Komisi II minta standar biaya rapat hotel bagi Pemda,0
MITI minta tindakan tegas terhadap tambang nikel di Raja Ampat ,0
"Tujuh bulan pemerintahan Prabowo-Gibran stabilitas politik 70,8 %",0
Survei kepercayaan publik terhadap polisi dalam tindak premanisme 67 % pua,0
"Poltik sepekan Pemda boleh rapat di hotel, isu Kapolri baru",0
Politik kemarin: Dasco temui Megawati dan Presiden PKS baru ,0
Politik kemarin: kunjungan Prabowo ke Thailand dan pembekalan PDIP,0
Inpres 1/2025: efisiensi anggaran Rp306 triliun dapat tuntutan mahasiswa,0
Usulan Solo jadi Daerah Istimewa dibahas DPR II,0
"Forum Purnawirawan TNI sampaikan 8 tuntutan, termasuk pemakzulan Gibran",0
Wapres Gibran dorong AI masuk kurikulum nasional 2025,0
"Polisi tindak premanisme, survei indikator politik: publik puas",0
Diskon tarif listrik 50 % bagi pelanggan 1.300 VA,0
Dedi Mulyadi Mau Bagi-Bagi Uang Tunai,1
Kemenkes Wajibkan Penumpang Pesawat Tervaksinasi TBC,1
"Ada Racun Disebarkan dengan Chemtrail, Sebabkan TBC",1
Golkar Dukung Pemakzulan Gibran,1
SPBU di Manado Jual Pertalite Dicampur Air,1
Prabowo bagikan bantuan berdasarkan jumlah anak—AI-generated,1
Tuntutan tandatangan pesan CIA ingin kudeta Jokowi,1
Video rumah Ridwan Kamil digeruduk warga saat KPK sita—sebenarnya di Barito Utara,1
Video Dedi Mulyadi bagi-bagi uang tunai,1
Gubernur Jabar Dedi Mulyadi Resmikan Layanan Pinjol,1
TNI Membunuh 1.200 Tentara Israel,1
Gibran Bagi-Bagi Uang untuk Bayar Utang hingga Modal Usaha,1
Juru Bicara OPM Menyatakan Menyerah,1
Dedi Mulyadi: Hanya Kaum Radikal yang Meragukan Ijazah Pak Jokowi,1
Makanan MBG di Indonesia Terkontaminasi Bangkai Ular,1
Penerapan Sistem Jalan Berbayar (ERP) di 25 Ruas Jalan Jakarta,1
Tautan Pendaftaran Program Rumah Gratis dari Pemerintah,1
Video Prabowo dan Megawati di Sidang Paripurna Pemakzulan Gibran,1
Roy Suryo Ditangkap karena Sebut Ijazah Jokowi Palsu,1
Ahli Waris Bisa Disanksi kalau Orang Meninggal Tidak Lapor Pajak,1
KPK Periksa Bobby dan Kaesang Terkait Kasus Blok Medan,1
Jokowi Kaget Kehilangan Ijazah Aslinya Padahal akan Ditunjukkan ke Publik,1
Sayembara Rp16 M dari Megawati untuk Buktikan Ijazah Jokowi Palsu,1
Semua Uang Impor Gula Masuk ke Rekening Kaesang atas Perintah Jokowi,1